Time,Spot,Overall OI PCR,Overall Vol PCR,Max Pain
2026-06-20 05:17:32.836129,24032.0,19.19,0.0,23100
2026-06-20 05:17:33.225169,24032.0,26.46,0.0,23150
2026-06-20 05:17:33.566362,24032.0,7.19,0.0,23150
2026-06-20 05:17:33.900784,24032.0,14.4,0.0,23200
2026-06-20 05:17:34.378192,24032.0,17.18,0.0,23250
2026-06-20 05:17:34.721498,24032.0,15.33,0.0,23250
2026-06-20 05:17:35.110797,24032.0,9.98,0.0,23250
2026-06-20 05:17:35.461905,24032.0,15.0,0.0,23300
2026-06-20 05:17:35.861849,24032.0,13.98,0.0,23300
2026-06-20 05:17:36.232992,24032.0,15.35,0.0,23350
2026-06-20 05:17:36.568422,24032.0,8.98,0.0,23350
2026-06-20 05:17:36.936410,24032.0,11.61,0.0,23400
2026-06-20 05:17:37.309605,24032.0,11.26,0.0,23400
2026-06-20 05:17:37.667854,24032.0,12.39,0.0,23450
2026-06-20 05:17:38.073086,24032.0,17.85,0.0,23500
2026-06-20 05:17:38.463687,24032.0,13.35,0.0,23500
2026-06-20 05:17:38.878665,24032.0,14.21,0.0,23500
2026-06-20 05:17:39.241724,24032.0,13.9,0.0,23500
2026-06-20 05:17:39.660493,24032.0,10.59,0.0,23500
2026-06-20 05:17:40.012677,24032.0,12.23,0.0,23600
2026-06-20 05:17:40.384660,24032.0,11.91,0.0,23600
2026-06-20 05:17:40.857490,24032.0,12.66,0.0,23600
2026-06-20 05:17:41.217494,24032.0,14.29,0.0,23700
2026-06-20 05:17:41.629741,24032.0,12.65,0.0,23700
2026-06-20 05:17:42.041763,24032.0,12.16,0.0,23700
2026-06-20 05:17:42.475182,24032.0,12.84,0.0,23700
2026-06-20 05:17:42.889146,24032.0,10.63,0.0,23700
2026-06-20 05:17:43.272087,24032.0,11.75,0.0,23800
2026-06-20 05:17:43.634609,24032.0,12.4,0.0,23800
2026-06-20 05:17:44.023810,24032.0,11.25,0.0,23800
2026-06-20 05:17:44.454796,24032.0,7.91,0.0,23800
2026-06-20 05:17:44.858512,24032.0,8.72,0.0,23900
2026-06-20 05:17:45.292757,24032.0,9.29,0.0,23900
2026-06-20 05:17:45.680787,24032.0,6.94,0.0,23900
2026-06-20 05:17:46.047058,24032.0,3.56,0.0,23900
2026-06-20 05:17:46.482765,24032.0,4.07,0.0,23950
2026-06-20 05:17:46.871201,24032.0,4.18,0.0,24000
2026-06-20 05:17:47.340574,24032.0,3.44,0.0,24000
2026-06-20 05:17:47.739015,24032.0,2.66,0.0,24000
2026-06-20 05:17:48.124348,24032.0,2.77,0.0,24000
2026-06-20 05:17:48.604231,24032.0,2.47,0.0,24000
2026-06-20 05:17:49.041970,24032.0,2.49,0.0,24000
2026-06-20 05:17:49.478128,24032.0,2.54,0.0,24000
2026-06-20 05:17:49.933191,24032.0,2.03,0.0,24000
2026-06-20 05:17:50.350468,24032.0,2.04,0.0,24000
2026-06-20 05:17:50.806655,24032.0,1.87,0.0,24000
2026-06-20 05:17:51.190136,24032.0,1.61,0.0,24000
2026-06-20 05:17:51.660569,24032.0,1.62,0.0,24000
2026-06-20 05:17:52.044128,24032.0,1.63,0.0,24000
2026-06-20 05:17:52.466100,24032.0,1.52,0.0,24000
2026-06-20 05:17:52.911782,24032.0,1.52,0.0,24000
2026-06-20 05:17:53.314232,24032.0,1.39,0.0,24000
2026-06-20 05:17:53.774060,24032.0,1.33,0.0,24000
2026-06-20 05:17:54.184487,24032.0,1.33,0.0,24000
2026-06-20 05:17:54.612233,24032.0,1.34,0.0,24000
2026-06-20 05:17:55.070468,24032.0,1.16,0.0,24000
2026-06-20 05:17:55.487482,24032.0,1.11,0.0,24000
2026-06-20 05:17:55.884241,24032.0,1.11,0.0,24000
2026-06-20 05:17:56.408024,24032.0,1.11,0.0,24000
2026-06-20 05:17:56.888012,24032.0,1.04,0.0,24000
2026-06-20 05:17:57.341228,24032.0,1.02,0.0,24000
2026-06-20 05:17:57.879952,24032.0,1.02,0.0,24000
2026-06-20 05:17:58.279718,24032.0,0.96,0.0,24000
2026-06-20 05:17:58.740167,24032.0,0.96,0.0,24000
2026-06-20 05:17:59.199086,24032.0,0.94,0.0,24000
2026-06-20 05:17:59.612936,24032.0,0.94,0.0,24000
2026-06-20 05:18:00.106015,24032.0,0.88,0.0,24000
2026-06-20 05:18:00.513372,24032.0,0.88,0.0,24000
2026-06-20 05:18:00.995465,24032.0,0.88,0.0,24000
2026-06-20 05:18:01.473060,24032.0,0.87,0.0,24000
2026-06-20 05:18:01.903208,24032.0,0.85,0.0,24000
2026-06-20 05:18:02.319671,24032.0,0.85,0.0,24000
2026-06-20 05:18:02.894367,24032.0,0.85,0.0,24000
2026-06-20 05:18:03.383586,24032.0,0.84,0.0,24000
2026-06-20 05:18:03.883635,24032.0,0.75,0.0,24000
2026-06-20 05:18:04.313974,24032.0,0.75,0.0,24000
2026-06-20 05:18:04.781636,24032.0,0.75,0.0,24000
2026-06-20 05:18:05.291331,24032.0,0.74,0.0,24000
2026-06-20 05:27:10.658862,24032.0,0.0,0.0,23050
2026-06-20 05:27:11.087764,24032.0,38.47,0.0,23050
2026-06-20 05:27:11.435414,24032.0,5.74,0.0,23050
2026-06-20 05:27:11.850208,24032.0,27.99,0.0,23100
2026-06-20 05:27:12.237375,24032.0,19.19,0.0,23100
2026-06-20 05:27:12.574365,24032.0,26.46,0.0,23150
2026-06-20 05:27:12.903836,24032.0,7.19,0.0,23150
2026-06-20 05:27:13.250026,24032.0,14.4,0.0,23200
2026-06-20 05:27:13.617892,24032.0,17.18,0.0,23250
2026-06-20 05:27:13.969839,24032.0,15.33,0.0,23250
2026-06-20 05:27:14.357845,24032.0,9.98,0.0,23250
2026-06-20 05:27:14.695364,24032.0,15.0,0.0,23300
2026-06-20 05:27:15.101065,24032.0,13.98,0.0,23300
2026-06-20 05:27:15.475587,24032.0,15.35,0.0,23350
2026-06-20 05:27:15.814314,24032.0,8.98,0.0,23350
2026-06-20 05:27:16.184984,24032.0,11.61,0.0,23400
2026-06-20 05:27:16.575065,24032.0,11.26,0.0,23400
2026-06-20 05:27:17.016252,24032.0,12.39,0.0,23450
2026-06-20 05:27:17.377691,24032.0,17.85,0.0,23500
2026-06-20 05:27:17.741995,24032.0,13.35,0.0,23500
2026-06-20 05:27:18.153083,24032.0,14.21,0.0,23500
2026-06-20 05:27:18.562130,24032.0,13.9,0.0,23500
2026-06-20 05:27:18.911133,24032.0,10.59,0.0,23500
